id,name,city,state,zip,created_at,updated_at
25,"New York University","New York",NY,10012,"2019-02-26 04:18:39","2019-02-26 04:18:39"
26,"Yale University","New Haven",CT,06520,"2019-02-26 04:18:39","2019-02-26 04:18:39"
